name,n_issues,nh_length
"Court Street",112,0.4445741786298322
"Read Street",69,0.4803008879127134
"English Street",20,0.3424197888168704
"Front Street",142,0.8335742985003072
"West Street",20,0.3909942452943474
"Osborn Avenue",64,0.3592667743210103
"Atwater Street",81,0.243136693775365
"Baldwin Street",1,0.1043320811267638
"Haven Street",21,0.09599628569582537
"Pond Lily Avenue",10,0.3973804177186064
"Valley Street",111,1.046821178856678
"Bishop Street",147,0.5936030924077824
"Judson Avenue",52,0.3439035498192513
"Rock Creek Road",42,0.3992181907311242
"East Pearl Street",41,0.1705197393800624
"Concord Street",127,0.4973774315054536
"Fountain Street",167,2.239109079237945
"Blatchley Avenue",141,0.3811082766709571
"New Street",1,0.06881048436130797
"Wright Avenue",23,0.1820278939508383
"Assumption Street",8,0.138694710504347
"South Genesee Street",1,0.1628525863822776
"Alden Avenue",156,0.424334371149761
"Gilbert Avenue",34,0.4632151752816078
"Hedge Street",1,0.02502254144105321
"Girard Avenue",44,0.3667646425302019
"Amistad Street",2,0.2265677860265289
"Hazel Street",32,0.5753379908923297
"Ives Place",4,0.2664625721918805
"Mead Street",10,0.06823767191911678
"Gold Street",1,0.07144832474662366
"Tilton Street",19,0.1608027437790236
"White Street",23,0.1377637829697964
"Olive Street",118,0.2671775652732265
"Greene Street",33,0.3162579418524356
"Auburn Street",17,0.06905647650243518
"Kensington Street",21,0.1297747110897872
"Stiles Street",1,0.155641223944134
"Ellsworth Avenue",210,0.7660805701464376
"Harrison Street",26,0.09206786382984072
"Loop Road",1,0.01988139422185203
"Portsea Street",23,0.4491265406865101
"Lenox Street",90,0.4395843122046764
"Cove Place",1,0.01140689635971515
"Clifford Terrace",1,0.1798595619369644
"Hopkins Drive",8,0.04051783193499021
"Onyx Street",4,0.06490405381104766
"Morris Cove Road",9,0.05509627264919795
"West Division Street",11,0.1204706574043464
"Weybosset Street",22,0.5705583789479204
"Westwood Road",47,0.4833634567072684
"Anita Street",22,0.2326573272866298
"Roydon Road",39,0.1686189204075463
"4th Street",7,0.1878715447087615
"Market Street",13,0.3474226499080039
"Burns Street",12,0.1078642973270429
"Avon Street",45,0.3236677247328397
"King Place",31,0.06959485520610646
"Lombard Street",138,1.165063921835878
"Brownell Street",17,0.1814069668433263
"Hard Street",10,0.1307071690430498
"Hine Place",10,0.09738936974647078
"Artizan Street",11,0.06505579125915358
"Goodwin Street",2,0.1753589463561931
"Carroll Street",3,0.06396549805413342
"Minor Street",4,0.1664456615893589
"Main Street",57,0.09273963998586879
"Dell Drive",6,0.08880634896090296
"Palmieri Avenue",24,0.111795809116645
"Eldert Street",1,0.1894956331530823
"Pine Rock Road",8,0.1047156610655624
"Chester Street",14,0.2551335076058205
"Welcome Street",3,0.09172254167315146
"Alfred Street",11,0.1322926689420433
"Hall Street",72,0.4851018231190444
"Townsend Terrace",35,0.4158746214615643
"Waverly Street",2,0.04794844067890103
"Elizabeth Street",19,0.265913187384094
"Sylvan Avenue",44,0.6251385199952327
"Connecticut Avenue",5,0.181355584719251
"Stone Street",15,0.07311213205953458
"Pierpont Street",17,0.3100684792465607
"Westminster Street",5,0.2470324942452398
"East Ramsdell Street",4,0.2837564282528586
"Kimberly Avenue",63,0.3958840418093788
"Prospect Avenue",23,0.05171340837434085
"Parker Place",37,0.25348933923602
"Yale Avenue",93,0.5358265748147377
"Dixwell Avenue",178,0.5712312822550971
"West Read Street",6,0.1405526986408796
"Mill River Street",9,0.07655502496157009
"Barnett Street",64,0.1385054082134868
"Knollwood Drive",27,0.2937008880761126
"Norwood Road",4,0.1023418146634061
"Brewery Street",11,0.5817975429529771
"Shelton Avenue",119,0.3756570310959876
"Wolcott Street",35,0.6762546508908476
"Glen Haven Road",28,0.5043347154338191
"Pardee Street",11,0.07573837825432474
"Marlin Drive",9,0.07983124632636658
"Liberty Street",21,0.147850184068136
"Prospect Street",176,0.6173153977924259
"Fulton Terrace",4,0.1947799649385063
"Huntington Road",16,0.09033172040561629
"Columbus Avenue",34,1.354317880470777
"Bright Street",25,0.08283623839245707
"West Hazel Street",5,0.1914354529590807
"Pawtucket Street",4,0.129752092691176
"Orange Street",734,1.343857770661499
"Cliff Street",17,0.3673007113462436
"Smith Avenue",17,0.381822223377221
"Thompson Street",7,0.5397572468015777
"Kendall Street",3,0.3344871377765802
"Shepard Avenue",1,0.1794553002000198
"Temple Street",167,0.6225582128059837
"Ogden Street",21,0.5072531516547361
"Massachusetts Avenue",2,0.04969355676963535
"Henry Street",38,0.6402459177499092
"State Street",593,2.083891963814012
"Truman Street",104,0.2601054259984883
"Austin Street",8,0.09698785872035715
"Tolli Terrace",25,0.1216162188199607
"Perkins Street",20,0.07894818464385069
"Ruby Street",9,0.1155855288371068
"Level Street",2,0.05607109359757767
"Whalley Avenue",367,3.242171099275227
"Hughes Place",26,0.02270450028850417
"Brewster Street",14,0.2337633432966855
"Maltby Street",17,0.1048277773175306
"Glen Road",41,0.5973036968976988
"George Street",180,1.782230297586992
"Chestnut Street",21,0.06454341740594721
"2nd Street",3,0.2928956607659243
"Willis Street",78,0.3138344975651159
"Park Street",75,0.4136400093756181
"Dickerman Street",49,0.2394817432056863
"Crofton Street",7,0.1744648650061402
"Clover Place",8,0.1354509839121684
"Wooster Place",23,0.03897942902562713
"Carlisle Street",33,0.3322039313932055
"Wintergreen Avenue",20,1.394912101903164
"West Ivy Street",26,0.1913714878312911
"Gibbs Street",4,0.2178461533950691
"Leroy Terrace",3,0.02300941266735506
"Cross Street",7,0.111165985585282
"5th Street",2,0.1889375888190093
"Meadow View Road",7,0.3738437856265995
"Leila Street",3,0.09538738863976937
"Lakeview Terrace",18,0.1600388123697325
"Peck Street",64,1.089296583347568
"Moreland Road",11,0.372548541229855
"Pine Street",84,0.8963489955249189
"Cold Spring Street",34,0.4147771598112689
"Lamberton Street",38,0.6990804281153663
"Woodland Street",31,0.1331102666425042
"Webster Street",42,0.5700411888896391
"Long Hill Terrace",8,0.136439141530975
"Elmwood Road",13,0.2258882899951231
"Garden Street",16,0.05390100869522887
"Fowler Street",19,0.2711998316390012
"Sachem Street",21,0.4251018755690519
"William Street",26,0.2364818922720771
"Kenny Drive",20,0.3701722224320515
"Donna Drive",13,0.1401044328249968
"Farren Avenue",37,0.1570649637391444
"Kossuth Street",14,0.1016034826923523
"Hemingway Place",12,0.1631045983363025
"Highland Street",45,0.794952258099678
"Howe Street",71,0.3566301757278877
"Ray Road",25,0.4009101016973596
"Daisy Street",7,0.1874728988079634
"Wayfarer Street",3,0.3838217118083179
"Shoreham Road",2,0.1030788573617655
"Glenview Terrace",27,0.3508537230883438
"Beecher Place",18,0.1448896204907089
"Rosewood Avenue",34,0.1120487994074941
"Harrington Avenue",6,0.1544768110783695
"Robertson Street",11,0.09355060626018288
"Loomis Place",17,0.09332254318123155
"Hudson Street",12,0.1421978705373393
"Woodbridge Avenue",26,0.2858210296340508
"Bradley Street",100,0.4108544273951582
"Horsley Avenue",6,0.04302201483501147
"Lander Street",5,0.1465709174403212
"Hubinger Street",28,0.1885759440695825
"Batter Terrace",11,0.04006104093526264
"North Bank Street",1,0.0727502974365092
"Anderson Street",19,0.1429500214364035
"Monroe Street",44,0.2076275859631774
"Putnam Street",23,0.4254056625850727
"Norton Street",76,0.4402139633391048
"Franklin Street",12,0.2633092460966003
"Grant Street",2,0.210327875976502
"Lighthouse Point Terrace",1,0.08006168202628609
"Lexington Avenue",199,0.5997139551095942
"Argonne Street",3,0.1081750486929486
"Whittier Road",16,0.287626260195623
"Arden Street",28,0.1206380090564462
"Vine Street",7,0.04236497985164366
"Forbes Avenue",35,1.642149721598796
"Blake Street",118,0.7814490596670818
"Chatham Street",93,0.769621908603336
"Chamberlain Place",4,0.07482972515383221
"Strong Street",3,0.1012811792542459
"Goffe Terrace",46,0.6671231922830291
"Curtis Drive",24,0.454537491725488
"Clay Street",23,0.6344900802690577
"Wellington Road",9,0.1168573506035707
"Crown Street",145,0.8820236212387018
"Kingswood Drive",4,0.1600969460712967
"Humphrey Street",167,1.219550194459744
"Wheeler Street",5,0.1791556342950898
"Cedar Street",47,0.4032845756816413
"Clarendon Street",10,0.2058733463441402
